epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,20025.9,0.84931,0.56875,1.12131,0.86574,0.82357,0.88186,0.6669,0.97165,0.6729,1.2365,0.00136306,0.00136306,0.00136306
120,20195.6,0.84073,0.55735,1.1173,0.8658,0.82378,0.88167,0.66686,0.9715,0.67369,1.23645,0.0013251,0.0013251,0.0013251
121,20364.2,0.83694,0.56041,1.11806,0.86514,0.82482,0.8816,0.66693,0.97155,0.67401,1.2366,0.0012875,0.0012875,0.0012875
122,20532.8,0.83809,0.56162,1.11841,0.86548,0.82403,0.88142,0.66682,0.97156,0.67399,1.23665,0.00125028,0.00125028,0.00125028
123,20702.6,0.83354,0.55459,1.11492,0.86592,0.82409,0.88129,0.6669,0.97181,0.6743,1.23695,0.00121345,0.00121345,0.00121345
124,20871.3,0.83028,0.54992,1.11216,0.86607,0.82441,0.88129,0.66693,0.9718,0.67479,1.23712,0.00117702,0.00117702,0.00117702
125,21040.3,0.83224,0.55166,1.11341,0.86414,0.82604,0.88121,0.66713,0.9719,0.67511,1.23738,0.001141,0.001141,0.001141
126,21210.2,0.82245,0.54805,1.11034,0.86355,0.82676,0.88109,0.6669,0.97189,0.67526,1.23761,0.0011054,0.0011054,0.0011054
127,21379.6,0.82704,0.54141,1.10569,0.86342,0.82627,0.88101,0.66686,0.97201,0.67554,1.23791,0.00107023,0.00107023,0.00107023
128,21548.8,0.82524,0.54367,1.10568,0.8632,0.82702,0.88095,0.66693,0.97192,0.67582,1.23764,0.00103551,0.00103551,0.00103551
129,21718.8,0.81802,0.5363,1.10107,0.86375,0.82619,0.88088,0.66705,0.97208,0.67607,1.23767,0.00100124,0.00100124,0.00100124
130,21886.9,0.80925,0.53188,1.09884,0.86421,0.82562,0.88091,0.66703,0.97229,0.6766,1.23792,0.000967432,0.000967432,0.000967432
131,22056.2,0.82318,0.54461,1.10351,0.86464,0.82546,0.88105,0.66724,0.97222,0.67685,1.2378,0.000934101,0.000934101,0.000934101
132,22225.9,0.81162,0.53062,1.10115,0.86482,0.82521,0.8811,0.66715,0.97231,0.67734,1.23782,0.000901254,0.000901254,0.000901254
133,22395.2,0.80871,0.53,1.10129,0.86472,0.82481,0.8811,0.66712,0.97248,0.67748,1.23809,0.000868902,0.000868902,0.000868902
134,22564,0.81583,0.5351,1.0986,0.86539,0.82452,0.88107,0.66729,0.97285,0.67757,1.23858,0.000837054,0.000837054,0.000837054
135,22732.8,0.81374,0.53597,1.10268,0.86429,0.82527,0.88114,0.66723,0.97302,0.67802,1.23873,0.000805721,0.000805721,0.000805721
136,22902.5,0.80409,0.52742,1.09618,0.86356,0.82552,0.88067,0.66726,0.97292,0.67827,1.23868,0.000774911,0.000774911,0.000774911
137,23072.7,0.81143,0.53499,1.10059,0.86391,0.82505,0.88088,0.66737,0.97333,0.67829,1.23923,0.000744634,0.000744634,0.000744634
138,23242.2,0.80826,0.53056,1.09751,0.86346,0.82555,0.88089,0.66738,0.9733,0.67861,1.2393,0.0007149,0.0007149,0.0007149
139,23411.4,0.80604,0.53389,1.09797,0.86326,0.82533,0.88092,0.66763,0.97349,0.6789,1.23961,0.000685717,0.000685717,0.000685717
140,23581.6,0.80214,0.52843,1.09524,0.86361,0.82531,0.88096,0.66748,0.97333,0.67902,1.23953,0.000657094,0.000657094,0.000657094
141,23750.9,0.80455,0.52565,1.09465,0.86318,0.82617,0.88106,0.66751,0.9734,0.67909,1.23973,0.00062904,0.00062904,0.00062904
142,23919.6,0.80147,0.52524,1.09366,0.86346,0.82653,0.88097,0.66738,0.97346,0.67936,1.23995,0.000601564,0.000601564,0.000601564
